"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"5142","W.N. Central",2014,40,602,"",381,"",144,"",40,"",20,"",17,"",30,""
"5143","S. Atlantic",2014,40,1061,"",675,"",276,"",72,"",19,"",19,"",64,""
"5144","E.S. Central",2014,40,1042,"",680,"",246,"",79,"",21,"",16,"",58,""
"5145","W.S. Central",2014,40,1446,"",910,"",371,"",103,"",35,"",27,"",53,""
"5146","Mountain",2014,40,1130,"",735,"",273,"",79,"",27,"",16,"",58,""
"5147","Pacific",2014,40,1695,"",1179,"",363,"",101,"",34,"",17,"",133,""
"5148","Totalå¦",2014,40,11102,"",7453,"",2580,"",674,"",227,"",167,"",603,""
"5149","Buffalo NY",2014,40,86,"",49,"",29,"",3,"",2,"",3,"",9,"Buffalo NY
 (42.88544137700046 78.87845781999965)"
"5150","Pasadena CA",2014,40,24,"",18,"",6,"",NA,"",NA,"",NA,"",4,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"5151","Shreveport LA",2014,40,55,"",38,"",15,"",1,"",1,"",NA,"",1,"Shreveport LA
 (32.514612729000476 93.74726848099965)"
"5152","Colorado Springs CO",2014,40,58,"",38,"",8,"",8,"",2,"",2,"",1,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"5153","Houston TX",2014,40,398,"",237,"",114,"",35,"",9,"",3,"",11,"Houston TX
 (29.760453065000434 95.36977674999969)"
"5154","Cincinnati OH",2014,40,76,"",37,"",26,"",8,"",4,"",1,"",2,"Cincinnati OH
 (39.1071305910005 84.50412975199964)"
"5155","Tacoma WA",2014,40,125,"",89,"",27,"",6,"",3,"",NA,"",7,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"5156","Cleveland OH",2014,40,253,"",164,"",67,"",10,"",3,"",9,"",15,"Cleveland OH
 (41.50475289400049 81.69071765199965)"
"5157","Reading PA",2014,40,26,"",20,"",6,"",NA,"",NA,"",NA,"",NA,"Reading PA
 (40.3366219720005 75.92783660599963)"
"5158","Las Vegas NV",2014,40,278,"",184,"",77,"",15,"",2,"",NA,"",17,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"5159","Atlanta GA",2014,40,129,"",77,"",30,"",19,"",2,"",1,"",3,"Atlanta GA
 (33.748311225000464 84.39110931499965)"
"5160","Waterbury CT",2014,40,24,"",18,"",4,"",2,"",NA,"",NA,"",1,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"5161","New Haven CT",2014,40,31,"",25,"",4,"",1,"",NA,"",1,"",5,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"5162","Omaha NE",2014,40,96,"",63,"",25,"",5,"",1,"",2,"",8,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"5163","Little Rock AR",2014,40,106,"",57,"",30,"",10,"",4,"",5,"",4,"Little Rock AR
 (34.74865329300047 92.27448794899965)"
"5164","Montgomery AL",2014,40,81,"",46,"",21,"",11,"",1,"",2,"",6,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"5165","Chattanooga TN",2014,40,83,"",59,"",18,"",3,"",3,"",NA,"",NA,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"5166","Berkeley CA",2014,40,14,"",12,"",2,"",NA,"",NA,"",NA,"",1,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"5167","Nashville TN",2014,40,166,"",102,"",41,"",13,"",8,"",2,"",8,"Nashville TN
 (36.16784000400048 86.77815577199965)"
"5168","Seattle WA",2014,40,103,"",71,"",22,"",7,"",1,"",2,"",2,"Seattle WA
 (47.60356894300048 122.32944721899969)"
"5169","Toledo OH",2014,40,98,"",70,"",18,"",5,"",2,"",3,"",2,"Toledo OH
 (41.65381070900048 83.53625660699964)"
"5170","Bridgeport CT",2014,40,32,"",27,"",4,"",1,"",NA,"",NA,"",2,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"5171","Rockford IL",2014,40,56,"",41,"",11,"",3,"",1,"",NA,"",1,"Rockford IL
 (42.2669016910005 89.07834897499964)"
"5172","Gary IN",2014,40,4,"",1,"",1,"",2,"",NA,"",NA,"",NA,"Gary IN
 (41.6037138850005 87.33716612199964)"
"5173","New Bedford MA",2014,40,19,"",13,"",5,"",1,"",NA,"",NA,"",2,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"5174","Rochester NY",2014,40,151,"",117,"",24,"",7,"",2,"",1,"",11,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"5175","Lowell MA",2014,40,21,"",16,"",4,"",1,"",NA,"",NA,"",2,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"5176","Springfield MA",2014,40,27,"",14,"",10,"",1,"",2,"",NA,"",1,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"5177","Columbus OH",2014,40,254,"",160,"",71,"",12,"",7,"",4,"",11,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"5178","Worcester MA",2014,40,70,"",50,"",15,"",5,"",NA,"",NA,"",10,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"5179","Baton Rouge LA",2014,40,80,"",59,"",14,"",5,"",1,"",1,"",1,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"5180","San Antonio TX",2014,40,258,"",186,"",51,"",13,"",4,"",4,"",10,"San Antonio TX
 (29.42458058800048 98.49460914499969)"
"5181","Boston MA",2014,40,120,"",76,"",29,"",9,"",1,"",5,"",3,"Boston MA
 (42.35866324500046 71.05673887699965)"
"5182","Scranton PA",2014,40,24,"",22,"",1,"",1,"",NA,"",NA,"",1,"Scranton PA
 (41.41015086800047 75.66077859599966)"
"5183","Sacramento CA",2014,40,212,"",150,"",47,"",11,"",3,"",1,"",21,"Sacramento CA
 (38.5793341750005 121.49089596399972)"
"5184","San Francisco CA",2014,40,119,"",81,"",20,"",12,"",4,"",2,"",11,"San Francisco CA
 (37.777123997000444 122.4196366869997)"
"5185","Allentown PA",2014,40,31,"",23,"",7,"",1,"",NA,"",NA,"",1,"Allentown PA
 (40.602603640000495 75.47025702899964)"
"5186","San Jose CA",2014,40,189,"",130,"",38,"",11,"",5,"",5,"",10,"San Jose CA
 (37.33858362500047 121.8855697949997)"
"5187","Memphis TN",2014,40,182,"",125,"",40,"",10,"",1,"",6,"",10,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"5188","Peoria IL",2014,40,48,"",36,"",9,"",2,"",NA,"",1,"",4,"Peoria IL
 (40.69214105000049 89.58775824399964)"
"5189","Wilmington DE",2014,40,6,"",4,"",2,"",NA,"",NA,"",NA,"",2,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"5190","San Diego CA",2014,40,158,"",112,"",36,"",5,"",4,"",NA,"",13,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"5191","Trenton NJ",2014,40,14,"",9,"",4,"",1,"",NA,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"5192","Lansing MI",2014,40,72,"",48,"",16,"",6,"",1,"",1,"",4,"Lansing MI
 (42.73194420800047 84.55224806999968)"
"5193","Dayton OH",2014,40,155,"",110,"",35,"",9,"",1,"",NA,"",9,"Dayton OH
 (39.759112821000485 84.19443785699968)"
"5194","New Orleans LA",2014,40,79,"",48,"",16,"",9,"",4,"",2,"",1,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"5195","Jersey City NJ",2014,40,32,"",22,"",7,"",2,"",1,"",NA,"",3,"Jersey City NJ
 (40.71748199500047 74.04384854999967)"
"5196","Charlotte NC",2014,40,135,"",85,"",37,"",7,"",3,"",3,"",5,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"5197","Indianapolis IN",2014,40,177,"",119,"",37,"",12,"",4,"",5,"",14,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"5198","Des Moines IA",2014,40,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"Des Moines IA
 (41.589761626000495 93.61564652299967)"
"5199","Erie PA",2014,40,41,"",31,"",8,"",1,"",1,"",NA,"",1,"Erie PA
 (42.12944247200045 80.08523881899964)"
"5200","Phoenix AZ",2014,40,181,"",98,"",53,"",18,"",7,"",5,"",10,"Phoenix AZ
 (33.44825282000045 112.07579699399969)"
"5201","Honolulu HI",2014,40,105,"",69,"",26,"",4,"",3,"",3,"",14,"Honolulu HI
 (21.304853205000427 157.85774691599974)"
"5202","Albuquerque NM",2014,40,112,"",78,"",22,"",7,"",3,"",2,"",8,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"5203","Austin TX",2014,40,103,"",70,"",22,"",6,"",2,"",3,"",9,"Austin TX
 (30.267593529000465 97.74298706799965)"
"5204","Norfolk VA",2014,40,43,"",25,"",11,"",2,"",4,"",1,"",NA,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"5205","Albany NY",2014,40,47,"",34,"",7,"",4,"",NA,"",2,"",1,"Albany NY
 (42.65155347600046 73.75520562899965)"
"5206","Philadelphia PA",2014,40,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"5207","Schenectady NY",2014,40,20,"",18,"",2,"",NA,"",NA,"",NA,"",NA,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"5208","Tucson AZ",2014,40,136,"",100,"",22,"",9,"",4,"",1,"",3,"Tucson AZ
 (32.22155278400044 110.96975897999971)"
"5209","Corpus Christi TX",2014,40,47,"",27,"",18,"",1,"",NA,"",1,"",4,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"5210","Yonkers NY",2014,40,24,"",21,"",2,"",1,"",NA,"",NA,"",5,"Yonkers NY
 (40.93299168200048 73.89873881399967)"
"5211","Washington D.C.",2014,40,123,"",82,"",28,"",10,"",1,"",2,"",13,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"5212","Lynn MA",2014,40,4,"",4,"",NA,"",NA,"",NA,"",NA,"",1,"Lynn MA
 (42.46370266800045 70.95021669199963)"
"5213","Milwaukee WI",2014,40,83,"",53,"",24,"",4,"",1,"",1,"",5,"Milwaukee WI
 (43.04181028200048 87.90683717599967)"
"5214","Miami FL",2014,40,65,"",45,"",15,"",4,"",NA,"",1,"",6,"Miami FL
 (25.774810115000435 80.19772778299966)"
"5215","Detroit MI",2014,40,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"5216","Boise ID",2014,40,86,"",53,"",24,"",5,"",3,"",1,"",4,"Boise ID
 (43.60698392100045 116.1934057949997)"
"5217","Pittsburgh PAå¤",2014,40,49,"",35,"",11,"",NA,"",NA,"",3,"",1,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"5218","St. Louis MO",2014,40,95,"",44,"",32,"",8,"",6,"",5,"",2,"St. Louis MO
 (38.6277517260005 90.19955850799965)"
"5219","Somerville MA",2014,40,6,"",4,"",2,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"5220","Evansville IN",2014,40,30,"",23,"",6,"",1,"",NA,"",NA,"",2,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"5221","Fort Wayne IN",2014,40,67,"",45,"",16,"",4,"",2,"",NA,"",5,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"5222","Canton OH",2014,40,37,"",21,"",10,"",1,"",4,"",1,"",2,"Canton OH
 (40.79781020000047 81.37156644799967)"
"5223","St. Paul MN",2014,40,52,"",37,"",9,"",4,"",NA,"",2,"",3,"St. Paul MN
 (44.94382372600046 93.09331667699968)"
"5224","Denver CO",2014,40,96,"",63,"",30,"",2,"",NA,"",1,"",4,"Denver CO
 (39.74001109000045 104.9922972059997)"
"5225","El Paso TX",2014,40,95,"",61,"",22,"",5,"",4,"",3,"",1,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"5226","Syracuse NY",2014,40,75,"",62,"",8,"",3,"",2,"",NA,"",2,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"5227","New York City NY",2014,40,1017,"",764,"",194,"",37,"",14,"",8,"",33,"New York City NY
 (40.71455220000047 74.00711891899965)"
"5228","Fort Worth TX",2014,40,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.75095254800044 97.33085951799967)"
"5229","Minneapolis MN",2014,40,65,"",39,"",17,"",3,"",2,"",4,"",4,"Minneapolis MN
 (44.9790304010005 93.26492855899966)"
"5230","Lincoln NC",2014,40,50,"",38,"",9,"",1,"",2,"",NA,"",1,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"5231","Tampa FL",2014,40,95,"",59,"",22,"",8,"",4,"",2,"",6,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"5232","Pueblo CO",2014,40,29,"",18,"",7,"",4,"",NA,"",NA,"",2,"Pueblo CO
 (38.263863080000476 104.61236614299969)"
"5233","Portland OR",2014,40,113,"",80,"",22,"",10,"",1,"",NA,"",4,"Portland OR
 (45.51178871100046 122.6756275729997)"
"5234","Fresno CA",2014,40,110,"",84,"",14,"",8,"",4,"",NA,"",12,"Fresno CA
 (36.74068202600046 119.78572815899969)"
"5235","Glendale CA",2014,40,32,"",28,"",2,"",1,"",NA,"",1,"",3,"Glendale CA
 (34.146330203000446 118.24863950799971)"
"5236","Ogden UT",2014,40,32,"",22,"",8,"",1,"",NA,"",1,"",1,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"5237","Lexington KY",2014,40,68,"",45,"",11,"",10,"",1,"",1,"",6,"Lexington KY
 (38.04859009900048 84.50031565799964)"
"5238","Santa Cruz CA",2014,40,24,"",15,"",7,"",2,"",NA,"",NA,"",1,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"5239","Fall River MA",2014,40,26,"",21,"",5,"",NA,"",NA,"",NA,"",1,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"5240","Duluth MN",2014,40,26,"",20,"",5,"",1,"",NA,"",NA,"",3,"Duluth MN
 (46.787955844000464 92.09984801699966)"
"5241","Long Beach CA",2014,40,56,"",38,"",14,"",2,"",2,"",NA,"",5,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"5242","Chicago IL",2014,40,249,"",160,"",67,"",16,"",5,"",1,"",10,"Chicago IL
 (41.88425074000048 87.63244574499964)"
"5243","Birmingham AL",2014,40,226,"",151,"",55,"",15,"",3,"",2,"",19,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"5244","Providence RI",2014,40,73,"",56,"",14,"",1,"",1,"",1,"",2,"Providence RI
 (41.823872836000476 71.41198998599964)"
"5245","Dallas TX",2014,40,192,"",107,"",60,"",15,"",5,"",5,"",9,"Dallas TX
 (32.778151412000454 96.79539918599966)"
"5246","Savannah GA",2014,40,59,"",44,"",12,"",1,"",NA,"",2,"",1,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"5247","Wichita KS",2014,40,84,"",57,"",16,"",8,"",3,"",NA,"",3,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"5248","Kansas City MO",2014,40,105,"",67,"",20,"",8,"",6,"",4,"",6,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"5249","Camden NJ",2014,40,26,"",17,"",5,"",3,"",NA,"",1,"",1,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"5250","Paterson NJ",2014,40,17,"",9,"",1,"",3,"",4,"",NA,"",1,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"5251","Mobile AL",2014,40,140,"",96,"",30,"",10,"",4,"",NA,"",6,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"5252","Baltimore MD",2014,40,146,"",89,"",42,"",9,"",3,"",3,"",14,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"5253","Youngstown OH",2014,40,53,"",42,"",9,"",2,"",NA,"",NA,"",NA,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"5254","Newark NJ",2014,40,36,"",16,"",16,"",4,"",NA,"",NA,"",5,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"5255","Utica NY",2014,40,12,"",7,"",5,"",NA,"",NA,"",NA,"",1,"Utica NY
 (43.09589091300046 75.24257707799967)"
"5256","Grand Rapids MI",2014,40,73,"",54,"",14,"",3,"",2,"",NA,"",4,"Grand Rapids MI
 (42.96641270800046 85.67117986599965)"
"5257","South Bend IN",2014,40,47,"",32,"",12,"",1,"",NA,"",2,"",2,"South Bend IN
 (41.67905339900045 86.25403946499966)"
"5258","Los Angeles CA",2014,40,239,"",155,"",56,"",22,"",3,"",3,"",22,"Los Angeles CA
 (34.053492307000454 118.24531669099969)"
"5259","Kansas City KS",2014,40,29,"",16,"",11,"",2,"",NA,"",NA,"",NA,"Kansas City KS
 (39.113521653000475 94.6268190079997)"
"5260","St. Petersburg FL",2014,40,63,"",46,"",16,"",1,"",NA,"",NA,"",6,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"5261","Salt Lake City UT",2014,40,122,"",81,"",22,"",10,"",6,"",3,"",8,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"5262","Elizabeth NJ",2014,40,7,"",4,"",1,"",1,"",1,"",NA,"",1,"Elizabeth NJ
 (40.6638122490005 74.21143642799967)"
"5263","Knoxville TN",2014,40,96,"",56,"",30,"",7,"",NA,"",3,"",3,"Knoxville TN
 (35.96049444300047 83.92090839299965)"
"5264","Richmond VA",2014,40,77,"",39,"",28,"",7,"",NA,"",3,"",3,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"5265","Jacksonville FL",2014,40,120,"",80,"",33,"",4,"",2,"",1,"",5,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"5266","Spokane WA",2014,40,72,"",47,"",24,"",NA,"",1,"",NA,"",3,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"5267","Tulsa OK",2014,40,33,"",20,"",9,"",3,"",1,"",NA,"",2,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"5268","Hartford CT",2014,40,46,"",30,"",12,"",2,"",2,"",NA,"",3,"Hartford CT
 (41.76349046400048 72.67401728199962)"
"5269","Akron OH",2014,40,47,"",33,"",10,"",3,"",1,"",NA,"",5,"Akron OH
 (41.084193248000474 81.51405901999965)"
"5270","Cambridge MA",2014,40,13,"",10,"",2,"",NA,"",NA,"",1,"",NA,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"5271","New England",2014,41,494,"",339,"",122,"",23,"",4,"",6,"",26,""
"5272","Mid. Atlantic",2014,41,1332,"",981,"",266,"",55,"",21,"",9,"",58,""
"5273","E.N. Central",2014,41,2000,"",1365,"",443,"",117,"",36,"",39,"",115,""
"5274","W.N. Central",2014,41,576,"",368,"",142,"",36,"",16,"",13,"",32,""
"5275","S. Atlantic",2014,41,1040,"",630,"",275,"",76,"",27,"",32,"",55,""
"5276","E.S. Central",2014,41,944,"",614,"",231,"",63,"",21,"",15,"",59,""
"5277","W.S. Central",2014,41,1463,"",910,"",400,"",90,"",31,"",31,"",61,""
"5278","Mountain",2014,41,1219,"",802,"",291,"",86,"",22,"",18,"",65,""
"5279","Pacific",2014,41,1694,"",1192,"",366,"",82,"",31,"",23,"",114,""
"5280","Totalå¦",2014,41,10762,"",7201,"",2536,"",628,"",209,"",186,"",585,""
"5281","Lowell MA",2014,41,18,"",13,"",2,"",3,"",NA,"",NA,"",NA,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"5282","Mobile AL",2014,41,85,"",57,"",21,"",4,"",2,"",1,"",2,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"5283","New Bedford MA",2014,41,17,"",12,"",5,"",NA,"",NA,"",NA,"",NA,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"5284","Omaha NE",2014,41,93,"",66,"",20,"",5,"",NA,"",2,"",3,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"5285","Wichita KS",2014,41,84,"",57,"",20,"",4,"",2,"",1,"",5,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"5286","Austin TX",2014,41,62,"",37,"",20,"",4,"",NA,"",1,"",3,"Austin TX
 (30.267593529000465 97.74298706799965)"
"5287","Jacksonville FL",2014,41,138,"",86,"",39,"",6,"",3,"",4,"",10,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"5288","Kansas City MO",2014,41,93,"",61,"",23,"",4,"",1,"",4,"",1,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"5289","Salt Lake City UT",2014,41,134,"",91,"",24,"",13,"",3,"",3,"",12,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"5290","Duluth MN",2014,41,30,"",18,"",10,"",2,"",NA,"",NA,"",5,"Duluth MN
 (46.787955844000464 92.09984801699966)"
"5291","Rochester NY",2014,41,171,"",135,"",26,"",5,"",3,"",2,"",6,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"5292","Camden NJ",2014,41,29,"",17,"",7,"",3,"",1,"",1,"",NA,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"5293","Jersey City NJ",2014,41,19,"",12,"",7,"",NA,"",NA,"",NA,"",NA,"Jersey City NJ
 (40.71748199500047 74.04384854999967)"
"5294","Knoxville TN",2014,41,104,"",75,"",19,"",7,"",1,"",2,"",4,"Knoxville TN
 (35.96049444300047 83.92090839299965)"
"5295","Albuquerque NM",2014,41,105,"",74,"",22,"",6,"",2,"",1,"",8,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"5296","Fort Wayne IN",2014,41,84,"",61,"",22,"",NA,"",1,"",NA,"",3,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"5297","Paterson NJ",2014,41,17,"",11,"",5,"",NA,"",1,"",NA,"",1,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"5298","Savannah GA",2014,41,61,"",42,"",15,"",2,"",1,"",1,"",4,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"5299","Springfield MA",2014,41,34,"",21,"",8,"",2,"",1,"",2,"",5,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"5300","Houston TX",2014,41,362,"",226,"",97,"",28,"",7,"",4,"",11,"Houston TX
 (29.760453065000434 95.36977674999969)"
"5301","Detroit MI",2014,41,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"5302","Santa Cruz CA",2014,41,22,"",18,"",2,"",2,"",NA,"",NA,"",1,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"5303","New Orleans LA",2014,41,45,"",23,"",14,"",6,"",2,"",NA,"",NA,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"5304","Lexington KY",2014,41,70,"",47,"",15,"",5,"",3,"",NA,"",5,"Lexington KY
 (38.04859009900048 84.50031565799964)"
"5305","Fall River MA",2014,41,29,"",19,"",9,"",1,"",NA,"",NA,"",NA,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"5306","Reading PA",2014,41,29,"",20,"",6,"",3,"",NA,"",NA,"",1,"Reading PA
 (40.3366219720005 75.92783660599963)"
"5307","San Diego CA",2014,41,147,"",105,"",32,"",6,"",2,"",2,"",8,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"5308","Colorado Springs CO",2014,41,71,"",46,"",15,"",8,"",NA,"",2,"",NA,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"5309","Tampa FL",2014,41,103,"",65,"",23,"",6,"",4,"",5,"",3,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"5310","Worcester MA",2014,41,64,"",40,"",20,"",3,"",NA,"",1,"",5,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"5311","Norfolk VA",2014,41,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"5312","Canton OH",2014,41,30,"",21,"",7,"",NA,"",1,"",1,"",3,"Canton OH
 (40.79781020000047 81.37156644799967)"
"5313","Newark NJ",2014,41,32,"",16,"",8,"",6,"",2,"",NA,"",1,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"5314","Lincoln NC",2014,41,39,"",32,"",4,"",1,"",NA,"",2,"",3,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"5315","Tulsa OK",2014,41,105,"",62,"",32,"",6,"",2,"",3,"",6,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"5316","Gary IN",2014,41,28,"",17,"",8,"",2,"",1,"",NA,"",2,"Gary IN
 (41.6037138850005 87.33716612199964)"
"5317","Youngstown OH",2014,41,65,"",46,"",10,"",5,"",2,"",2,"",1,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"5318","Indianapolis IN",2014,41,204,"",128,"",41,"",24,"",5,"",6,"",17,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"5319","Spokane WA",2014,41,70,"",44,"",22,"",2,"",2,"",NA,"",5,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"5320","Baltimore MD",2014,41,150,"",76,"",53,"",16,"",2,"",3,"",10,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"5321","Akron OH",2014,41,69,"",37,"",24,"",7,"",1,"",NA,"",5,"Akron OH
 (41.084193248000474 81.51405901999965)"
"5322","Cambridge MA",2014,41,15,"",9,"",3,"",NA,"",1,"",2,"",1,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"5323","Montgomery AL",2014,41,39,"",24,"",10,"",4,"",NA,"",1,"",1,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"5324","Richmond VA",2014,41,56,"",30,"",18,"",5,"",2,"",1,"",NA,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"5325","Memphis TN",2014,41,231,"",148,"",61,"",13,"",7,"",2,"",19,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"5326","Columbus OH",2014,41,215,"",135,"",55,"",16,"",4,"",5,"",12,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"5327","Charlotte NC",2014,41,136,"",87,"",33,"",6,"",1,"",9,"",7,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"5328","Wilmington DE",2014,41,8,"",5,"",3,"",NA,"",NA,"",NA,"",1,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"5329","New Haven CT",2014,41,32,"",25,"",6,"",1,"",NA,"",NA,"",2,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"5330","Washington D.C.",2014,41,133,"",77,"",34,"",10,"",5,"",7,"",7,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"5331","Tacoma WA",2014,41,117,"",86,"",18,"",7,"",6,"",NA,"",8,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"5332","Chicago IL",2014,41,281,"",184,"",70,"",15,"",8,"",4,"",14,"Chicago IL
 (41.88425074000048 87.63244574499964)"
"5333","Denver CO",2014,41,91,"",61,"",19,"",7,"",1,"",3,"",NA,"Denver CO
 (39.74001109000045 104.9922972059997)"
"5334","Dayton OH",2014,41,129,"",100,"",22,"",6,"",1,"",NA,"",7,"Dayton OH
 (39.759112821000485 84.19443785699968)"
